lat,lon,cluster
40.7554,-74.0316,1
40.7554,-74.0316,1
40.7384,-74.0038,0
40.7809,-73.9568,0
40.74,-74.003,0
40.7396,-74.0063,0
40.7273,-73.9919,0
40.7358,-74.0007,0
40.7213,-73.9886,0
40.8055,-73.9388,-1
40.7297,-73.9901,0
40.7573,-73.9895,0
40.7401,-74.006,0
40.7168,-73.9419,0
40.72,-73.9926,0
40.7531,-74.0252,1
40.7412,-73.9924,0
40.7299,-73.9867,0
40.77,-73.9532,0
40.7265,-73.9955,0
40.7396,-74.0055,0
40.7367,-74.0299,1
40.7198,-73.9993,0
40.7342,-74.003,0
40.7342,-74.003,0
40.7399,-74.0028,0
40.7494,-73.9829,0
40.6926,-73.9215,0
40.7781,-73.978,0
40.7427,-74.0377,1
40.72,-73.9553,0
40.7616,-73.9864,0
40.7187,-73.9905,0
40.7332,-73.9999,0
40.7198,-73.9899,0
40.7395,-74.0019,0
40.7249,-73.9924,0
40.7188,-74.0509,-1
40.7188,-74.0509,-1
40.7473,-73.9858,0
40.7473,-73.9858,0
40.7395,-74.0275,1
40.7623,-73.9771,0
40.7359,-74.0288,1
40.7279,-73.9542,0
40.7421,-74.0056,0
40.7177,-73.9922,0
40.7557,-73.9917,0
40.7635,-73.9811,0
40.7639,-73.9978,0
40.731,-74.0044,0
40.7648,-73.9783,0
40.7227,-73.9882,0
40.7626,-73.9718,0
40.7278,-73.9947,0
40.7278,-73.9947,0
40.7351,-74.01,0
40.7439,-73.9914,0
40.7311,-74.0014,0
40.74,-74.0059,0
40.7253,-73.9926,0
40.7405,-73.9983,0
40.7502,-74.0025,0
40.7633,-73.993,0
40.7403,-74.008,0
40.7158,-74.0083,0
40.7346,-73.9908,0
40.7398,-74.0067,0
40.7274,-73.9941,0
40.7438,-74.007,0
40.7453,-73.9768,0
40.7266,-74.0056,0
40.7405,-74.0056,0
40.7332,-74.0065,0
40.7384,-74.0305,1
40.734,-74.003,0
40.7422,-74.0042,0
40.7264,-73.9843,0
40.7432,-74.0084,0
40.7349,-73.9776,0
40.7208,-73.9939,0
40.8159,-73.9544,-1
40.7291,-73.9923,0
40.7563,-73.9745,0
