lat,lon,cluster
40.7122,-73.9639,0
40.7195,-73.9895,1
40.7626,-73.9964,1
40.7108,-73.9564,0
40.8041,-73.9961,-1
40.7514,-73.9938,1
40.7547,-73.9696,1
40.7596,-73.9739,1
40.7613,-73.9638,1
40.7637,-73.9963,1
40.7325,-73.9968,1
40.7571,-73.9713,1
40.8018,-73.9372,-1
40.7454,-74.0323,-1
40.7394,-74.0067,1
40.7469,-73.9743,1
40.7521,-74.0323,-1
40.7111,-73.9563,0
40.7364,-73.9794,1
40.73,-73.9562,0
40.7389,-73.9813,1
40.713,-73.9662,0
40.6451,-73.973,-1
40.7263,-73.992,1
40.7295,-73.9576,0
40.6771,-73.9723,-1
40.7627,-73.9967,1
40.7384,-73.9897,1
40.7383,-73.9878,1
40.7439,-74.0065,1
40.7571,-73.9989,1
40.6978,-73.9272,-1
40.7439,-74.0065,1
40.742,-74.0038,1
40.7052,-73.9393,0
40.7185,-73.9863,1
40.7661,-73.9836,1
40.7492,-73.9804,1
40.7107,-73.9366,0
40.7589,-73.9189,-1
40.7218,-73.9918,1
40.7633,-73.9806,1
40.7397,-73.9854,1
40.7219,-74.0042,1
40.7158,-74.0035,1
40.7594,-73.9635,1
40.7014,-73.983,2
40.7323,-73.996,1
40.8302,-73.972,-1
40.7218,-73.9888,1
40.7233,-73.9505,0
40.7571,-73.9872,1
40.7208,-73.9567,0
40.7238,-73.9896,1
40.7397,-74.002,1
40.7258,-73.983,1
40.7482,-73.9881,1
40.72,-73.999,1
40.7243,-73.983,1
40.7606,-73.9623,1
40.7606,-73.9623,1
40.7673,-74.0168,-1
40.7146,-73.9579,0
40.7797,-73.9771,1
40.7505,-74.0021,1
40.7752,-73.9635,1
40.7502,-74.0024,1
40.7719,-73.9827,1
40.7381,-73.9923,1
40.6958,-73.9709,-1
40.7413,-74.0083,1
40.7508,-74.0037,1
40.7271,-74.0018,1
40.7015,-73.9314,-1
40.7691,-73.9569,1
40.7616,-73.9701,1
40.7519,-73.9848,1
40.7218,-73.958,0
40.6978,-73.9695,0
40.7931,-73.9722,1
40.7931,-73.9722,1
40.7079,-74.0101,1
40.7413,-73.9936,1
40.7431,-74.0084,1
40.7778,-73.9757,1
40.7496,-73.9793,1
40.7506,-73.978,1
40.7765,-73.9805,1
40.7411,-74.0052,1
40.7288,-73.9994,1
40.7411,-74.0056,1
40.7512,-74.0067,1
40.7573,-73.9817,1
40.7381,-73.9737,1
40.7381,-73.9737,1
40.7143,-73.9517,0
40.7172,-74.005,1
40.7697,-73.9525,1
40.73,-73.9572,0
40.7608,-73.9989,1
40.7327,-73.9982,1
40.748,-73.9807,1
40.6552,-74.0106,-1
40.7028,-74.011,1
40.759,-73.9939,1
40.6472,-73.9202,-1
40.725,-73.9904,1
40.7342,-73.9778,1
40.7419,-73.9832,1
40.7638,-73.9206,-1
40.7642,-73.9543,1
40.7411,-73.9857,1
40.7528,-73.9855,1
40.725,-73.9831,1
40.7399,-74.0059,1
40.7441,-74.0068,1
40.7441,-74.0068,1
40.7597,-73.9732,1
40.7363,-73.9788,1
40.7605,-73.9621,1
40.7195,-74.0028,1
40.7672,-73.8971,-1
40.741,-74.0056,1
40.741,-74.0056,1
40.6536,-73.9786,-1
40.7644,-73.9042,-1
40.7604,-73.9875,1
40.7611,-73.9717,1
40.7252,-73.9834,1
40.7394,-74.0012,1
40.7434,-73.9577,-1
40.8051,-73.9583,-1
40.7634,-73.9833,1
40.7609,-73.9964,1
40.7827,-73.9488,1
40.7198,-73.9827,1
40.761,-73.9848,1
40.761,-73.9848,1
40.7631,-73.9797,1
40.7473,-73.9724,1
40.8085,-73.9432,-1
40.7597,-73.9006,-1
40.7598,-73.9006,-1
40.7259,-73.9122,-1
40.7619,-73.9825,1
40.7752,-73.9472,1
40.7519,-73.977,1
40.7365,-73.9372,-1
40.7241,-74.0002,1
40.7501,-74.0026,1
40.7256,-74.0032,1
40.8175,-73.941,-1
40.7565,-73.99,1
40.7408,-74.0054,1
40.6871,-73.9234,-1
40.7829,-74.0181,-1
40.7481,-74.0426,-1
40.7277,-73.9943,1
40.6976,-73.9929,2
40.7504,-74.0025,1
40.7248,-73.9814,1
40.6776,-73.9476,-1
40.7678,-73.9953,1
40.7196,-74.0458,-1
40.7259,-74.0052,1
40.6894,-73.9571,-1
40.7406,-74.0338,-1
40.7771,-73.9519,1
40.7212,-73.9992,1
40.7502,-74.0023,1
40.6508,-73.9504,-1
40.7506,-74.0034,1
40.7735,-73.9117,-1
40.7223,-73.9575,0
40.7549,-73.9939,1
40.7262,-73.9993,1
40.7258,-73.9919,1
40.7709,-73.9618,1
40.7494,-73.9918,1
40.721,-73.9937,1
40.7471,-73.9867,1
40.733,-73.9982,1
40.75,-74.0025,1
40.7604,-73.9618,1
40.7322,-74.0017,1
40.7414,-73.9266,-1
40.7439,-74.0065,1
40.7117,-73.9518,0
40.7389,-73.9813,1
40.7211,-74.0319,-1
40.7569,-73.9825,1
40.721,-73.9914,1
40.7181,-73.9641,0
40.7507,-74.0034,1
40.7635,-73.9752,1
40.7642,-73.9037,-1
40.7331,-73.9864,1
40.7554,-73.9682,1
40.7405,-73.9982,1
40.7278,-73.9992,1
40.7308,-73.9906,1
40.7331,-73.9999,1
40.711,-74.0059,1
40.7283,-74.0047,1
40.7031,-73.9321,-1
40.7144,-74.0151,1
40.7423,-73.9953,1
40.7486,-73.9871,1
40.6677,-73.9832,-1
40.705,-74.0161,1
40.7472,-73.9769,1
40.7376,-74.031,-1
40.7082,-74.0065,1
40.7389,-73.9909,1
40.8132,-73.94,-1
40.7614,-73.9942,1
40.7396,-74.0409,-1
40.7695,-73.9647,1
40.7486,-73.985,1
40.7218,-73.9922,1
40.8012,-73.9533,-1
40.7625,-73.9827,1
40.725,-73.9829,1
40.7613,-73.9915,1
40.6836,-73.8801,-1
40.7629,-73.9947,1
40.7628,-73.9677,1
40.7401,-74.006,1
40.7328,-74.0515,-1
40.7508,-74.0268,-1
40.7357,-74.0015,1
40.6443,-73.9983,-1
40.6196,-73.9935,-1
40.7501,-74.0025,1
40.7215,-73.9951,1
40.7492,-73.9942,1
40.7115,-74.0079,1
40.7747,-73.9582,1
40.7224,-73.9574,0
40.7204,-74.0021,1
40.7157,-73.9984,1
40.7561,-73.9968,1
40.7633,-73.972,1
40.7133,-74.0116,1
40.7503,-74.0025,1
40.7386,-74.0305,-1
40.7384,-73.9855,1
40.7396,-74.0022,1
40.7398,-73.9815,1
40.7455,-73.9775,1
40.7041,-74.0089,1
40.7413,-74.0083,1
40.72,-73.9554,0
40.7394,-74.007,1
40.7554,-74.037,-1
40.7384,-74.0393,-1
40.7166,-73.9617,0
40.6879,-73.9646,-1
40.7369,-73.9846,1
40.721,-74.0041,1
40.7628,-73.9831,1
40.748,-73.9882,1
40.75,-74.0025,1
40.7208,-74.0018,1
40.7211,-73.9924,1
40.7598,-73.9008,-1
40.7076,-74.0101,1
40.7499,-74.0026,1
40.7458,-73.9937,1
40.7901,-73.9747,1
40.7224,-73.9575,0
40.7383,-73.9932,1
40.7362,-73.9846,1
40.6921,-73.9246,-1
40.84,-73.8243,-1
40.7332,-73.9931,1
40.7678,-73.9915,1
40.7372,-73.9849,1
40.6863,-73.9916,2
40.7137,-73.9936,1
40.7485,-73.9887,1
40.7866,-73.9759,1
40.7415,-74.007,1
40.7308,-74.0009,1
40.6392,-73.9193,-1
40.7615,-73.9919,1
40.7395,-74.0065,1
40.7336,-74.0062,1
40.7442,-74.0067,1
40.7364,-73.9945,1
40.7367,-73.9539,0
40.7431,-73.9913,1
40.705,-74.0117,1
40.7438,-73.9733,1
40.7066,-73.9904,1
40.7622,-73.9972,1
40.759,-73.9687,1
40.7219,-73.9922,1
40.7817,-73.9463,1
40.7258,-73.9944,1
40.7595,-73.9793,1
40.6798,-73.8693,-1
40.7499,-74.0026,1
40.7275,-74.0008,1
40.727,-73.9915,1
40.7962,-73.9324,-1
40.7389,-73.9178,-1
40.7319,-74.0009,1
40.7102,-73.9635,0
40.707,-74.0048,1
40.7082,-74.0118,1
40.7579,-73.9824,1
40.7553,-73.9221,-1
40.7698,-73.9546,1
40.6731,-74.0101,-1
40.7566,-73.9866,1
40.7023,-73.9839,1
40.7587,-73.976,1
40.7194,-73.9996,1
40.7166,-74.0077,1
40.7392,-74.0013,1
40.7192,-74.0,1
40.7218,-73.9921,1
40.7332,-73.9916,1
40.6976,-73.9587,0
40.7486,-73.9899,1
40.7403,-74.008,1
40.7619,-73.9812,1
40.7583,-73.9776,1
40.7562,-73.9728,1
40.6977,-73.9278,-1
40.7412,-74.0078,1
40.7508,-74.0056,1
40.7621,-73.976,1
40.7575,-73.9688,1
40.7549,-73.9864,1
40.7596,-73.9726,1
40.7275,-73.994,1
40.7415,-74.0038,1
40.7573,-73.9744,1
40.747,-73.9915,1
40.7181,-73.9989,1
40.7268,-74.0083,1
40.7445,-73.9968,1
40.7707,-73.9826,1
40.7469,-73.9966,1
40.7406,-73.9795,1
40.7586,-73.9728,1
40.7551,-73.9649,1
40.751,-73.9803,1
40.7286,-73.982,1
40.764,-73.9919,1
40.7277,-73.9855,1
40.7643,-73.987,1
40.748,-73.9794,1
40.7595,-73.9678,1
40.7332,-73.9753,1
40.755,-73.9866,1
40.7638,-73.9759,1
40.7611,-73.9785,1
40.7343,-73.9784,1
40.7715,-73.9606,1
40.7645,-73.9733,1
40.8146,-73.9404,-1
40.7685,-73.9869,1
40.745,-73.9918,1
40.7259,-73.9945,1
40.7591,-73.9727,1
40.7243,-73.9848,1
40.783,-73.957,1
40.783,-73.957,1
40.7406,-74.0087,1
40.7679,-73.963,1
40.7536,-73.989,1
40.742,-74.0056,1
40.7556,-73.9865,1
40.7419,-73.9905,1
40.7548,-73.9862,1
40.7548,-73.9856,1
40.7548,-73.9856,1
40.742,-74.0056,1
40.7553,-73.9869,1
40.7334,-74.0063,1
40.7408,-74.0076,1
40.7624,-73.9767,1
40.7419,-74.0036,1
40.7548,-73.9861,1
40.767,-73.9537,1
40.7745,-73.9798,1
40.7745,-73.9798,1
40.6734,-73.9494,-1
40.8007,-73.9682,1
40.7513,-73.9409,-1
40.8078,-73.9321,-1
40.7331,-73.9999,1
40.7502,-73.9866,1
40.7502,-73.9866,1
40.7394,-74.0072,1
40.675,-73.9632,-1
40.7197,-74.0062,1
40.75,-74.0025,1
40.7337,-74.0063,1
40.761,-73.9834,1
40.761,-73.9834,1
40.7385,-73.9992,1
40.7077,-74.0057,1
40.7395,-74.0068,1
40.7449,-73.984,1
40.772,-73.9632,1
40.7378,-73.8959,-1
40.6391,-73.9194,-1
40.7812,-73.9493,1
40.7499,-74.0027,1
40.7319,-74.0095,1
40.7638,-73.9857,1
40.7663,-73.9918,1
40.7715,-73.9626,1
40.7715,-73.9626,1
40.7254,-74.0112,1
40.703,-74.0114,1
40.75,-74.0025,1
40.7438,-74.0061,1
40.6727,-73.9814,-1
40.7442,-73.9842,1
40.7192,-73.9584,0
40.7638,-73.9857,1
40.7419,-74.0036,1
40.7267,-73.9887,1
40.7606,-73.8981,-1
40.7287,-74.0016,1
40.7614,-73.9782,1
40.6981,-73.9746,2
40.7559,-73.9869,1
40.7146,-73.958,0
40.7232,-73.9504,0
40.747,-73.9856,1
40.7323,-74.0078,1
40.7195,-73.9878,1
40.7406,-74.0067,1
40.7324,-74.0076,1
40.7675,-73.9228,-1
40.7404,-74.0063,1
40.8121,-73.9576,-1
