lat,lon,cluster
40.7205,-73.9968,0
40.7747,-73.9901,0
40.7741,-73.8723,1
40.7354,-74.0039,0
40.7307,-73.9852,0
40.7693,-73.9595,0
40.7778,-73.9539,0
40.7427,-74.038,-1
40.7745,-73.964,0
40.7445,-74.008,0
40.7274,-73.992,0
40.7762,-73.9559,0
40.7387,-74.0078,0
40.7735,-73.9813,0
40.7368,-73.986,0
40.7696,-73.864,1
40.7435,-73.958,-1
40.7686,-73.9645,0
40.7484,-73.9923,0
40.7868,-73.9503,0
40.6512,-73.9712,-1
40.7497,-73.9835,0
40.7303,-73.9822,0
40.7196,-73.9963,0
40.771,-73.866,1
40.7753,-73.9649,0
40.6294,-73.9995,-1
40.7869,-73.9503,0
40.7499,-74.0035,0
40.7448,-74.003,0
40.7755,-73.9642,0
40.7428,-73.9789,0
40.7414,-74.0079,0
40.7388,-74.0054,0
40.7772,-73.9778,0
40.7775,-73.9859,0
40.7775,-73.9859,0
40.7613,-73.974,0
40.7462,-73.982,0
40.775,-73.9911,0
40.7761,-73.9615,0
40.768,-73.9919,0
40.7257,-73.9988,0
40.7786,-73.9889,0
40.7563,-73.9967,0
40.7418,-74.0015,0
40.7422,-73.9827,0
40.7684,-73.8623,1
40.771,-73.8659,1
40.7512,-74.0066,0
40.7529,-74.0039,0
40.727,-73.9887,0
40.7735,-73.962,0
40.7735,-73.962,0
40.7768,-73.9079,-1
40.7789,-73.956,0
40.7647,-73.9853,0
40.7373,-73.9964,0
40.7775,-73.9629,0
40.6879,-73.9974,2
40.7199,-73.9986,0
40.7704,-73.9581,0
40.7265,-74.0483,-1
40.7729,-73.8857,1
40.7668,-73.9655,0
40.752,-73.9989,0
40.7811,-73.9835,0
40.7402,-74.0035,0
40.6879,-73.9941,2
40.7745,-73.96,0
40.6851,-73.9776,2
40.7406,-73.9908,0
40.7469,-73.9906,0
40.7717,-73.9573,0
40.7753,-73.9845,0
40.7654,-73.9583,0
40.7556,-73.9731,0
40.7714,-73.9885,0
40.7711,-73.8653,1
40.7911,-73.9753,0
40.7441,-73.9839,0
40.774,-73.8716,1
40.7606,-73.9992,0
40.7936,-73.9733,0
40.6733,-73.9449,-1
40.7745,-73.9609,0
40.7346,-74.0093,0
40.7414,-74.0004,0
