lat,lon,cluster
40.7575,-73.9846,0
40.7256,-73.9869,0
40.7591,-73.9684,0
40.7271,-73.9803,0
40.7743,-73.9891,0
40.7577,-73.9753,0
40.7634,-73.9811,0
40.757,-73.9747,0
40.7603,-73.9738,0
40.7397,-73.981,0
40.742,-74.0037,0
40.7321,-73.9822,0
40.7445,-73.9984,0
40.73,-73.9752,0
40.7561,-73.9881,0
40.7115,-73.9456,-1
40.6622,-73.9214,-1
40.7258,-73.9921,0
40.7211,-73.9879,0
40.742,-73.9901,0
40.7607,-73.9784,0
40.7411,-74.0015,0
40.7536,-73.9852,0
40.7293,-73.9811,0
40.7149,-74.015,0
40.7209,-74.0006,0
40.7497,-73.9856,0
40.82,-73.9467,-1
40.717,-74.0018,0
40.735,-73.989,0
40.7604,-73.9872,0
40.6729,-73.8335,-1
40.7444,-74.0065,0
40.7516,-73.9418,-1
40.7395,-74.0019,0
40.7204,-74.001,0
40.7226,-73.9991,0
40.8559,-73.8459,-1
40.7591,-73.9684,0
40.7419,-73.9752,0
40.7502,-73.9809,0
40.7413,-73.9983,0
40.7422,-73.9933,0
40.7517,-73.993,0
40.7793,-73.9533,-1
40.8453,-73.921,-1
40.7716,-73.9472,-1
40.8217,-73.9549,-1
40.7271,-74.0018,0
40.7103,-73.9634,1
40.708,-74.0016,0
40.7134,-73.9563,1
40.7134,-73.9563,1
40.7487,-73.9892,0
40.7617,-73.9844,0
40.7185,-73.9637,1
40.7228,-73.9859,0
40.7078,-73.9536,1
40.716,-73.962,1
40.7064,-73.927,-1
40.6614,-73.9419,-1
40.7079,-73.945,-1
40.7079,-73.945,-1
40.7444,-74.0058,0
40.7297,-73.9967,0
40.7331,-74.0034,0
40.7497,-73.9875,0
40.7142,-73.995,0
40.7409,-73.9849,0
40.7331,-73.9935,0
40.7493,-73.9945,0
40.7401,-73.9906,0
40.7635,-73.9753,0
40.7312,-74.0012,0
40.8308,-73.8719,-1
40.7583,-73.9786,0
40.7401,-74.006,0
40.7283,-74.0073,0
40.7869,-73.9421,-1
40.7278,-73.993,0
40.7374,-73.991,0
40.7199,-74.0081,0
40.7256,-73.9839,0
40.7633,-73.9816,0
40.7593,-73.9957,0
40.7593,-73.9957,0
40.7512,-74.0067,0
40.7521,-73.977,0
40.7493,-73.9886,0
40.7204,-73.9632,1
40.732,-73.9852,0
40.7244,-73.9833,0
40.723,-74.008,0
40.6879,-73.9619,-1
40.7546,-73.9687,0
40.7614,-73.9793,0
40.7212,-74.0001,0
40.7599,-73.9839,0
40.7499,-73.9779,0
40.7493,-73.9954,0
40.7377,-74.0665,-1
40.7561,-73.9832,0
40.7249,-73.979,0
40.7044,-74.0084,0
40.7488,-73.9948,0
40.7607,-73.9786,0
40.7648,-73.9789,0
40.7595,-73.9798,0
40.7325,-73.99,0
40.715,-74.0119,0
40.7557,-73.9872,0
40.7396,-74.0024,0
40.7323,-73.9963,0
40.6721,-73.9531,-1
40.706,-73.9447,-1
40.7258,-74.0077,0
40.728,-73.9992,0
40.728,-73.9992,0
40.7444,-73.9915,0
40.7603,-73.962,0
40.6337,-74.0215,-1
40.7293,-73.9891,0
40.7293,-73.9891,0
40.759,-73.9776,0
40.7613,-73.9792,0
40.7613,-73.9792,0
40.7559,-73.9867,0
40.6663,-73.9872,-1
40.7571,-73.9847,0
40.7049,-74.0129,0
40.6729,-73.9703,-1
40.7039,-73.9349,-1
40.7323,-73.9961,0
40.7323,-73.9961,0
40.7557,-73.9766,0
40.7277,-73.9952,0
40.7713,-73.9598,2
40.6961,-73.9778,-1
40.7281,-73.999,0
40.7445,-73.9984,0
40.6648,-73.9897,-1
40.6892,-73.9691,-1
40.7253,-73.9873,0
40.761,-73.9785,0
40.7209,-73.9812,0
40.7606,-73.962,0
40.8115,-73.9445,-1
40.7494,-73.9918,0
40.7065,-74.0065,0
40.7493,-74.0321,-1
40.7331,-73.9948,0
40.7445,-74.0064,0
40.7441,-73.9916,0
40.7144,-73.9982,0
40.7559,-73.9921,0
40.7418,-74.0324,-1
40.7294,-73.9926,0
40.7025,-73.8153,-1
40.7321,-73.984,0
40.6992,-73.9312,-1
40.7628,-73.978,0
40.7628,-73.978,0
40.7423,-74.026,-1
40.7475,-73.9869,0
40.761,-73.9931,0
40.7637,-73.975,0
40.739,-73.9874,0
40.6867,-73.9546,-1
40.8014,-73.9605,-1
40.7358,-74.0067,0
40.7476,-74.0045,0
40.7514,-73.9937,0
40.7448,-73.9818,0
40.7673,-73.9882,0
40.7595,-73.9724,0
40.7422,-73.9949,0
40.7618,-73.9699,0
40.7169,-74.0019,0
40.7615,-73.9847,0
40.7396,-74.002,0
40.792,-73.924,-1
40.7535,-73.9697,0
40.7537,-73.9662,0
40.6689,-73.9867,-1
40.7459,-74.0079,0
40.7589,-73.9721,0
40.731,-73.9539,-1
40.7395,-74.0018,0
40.7213,-73.9886,0
40.7407,-73.9862,0
40.7864,-73.9519,-1
40.7245,-73.9914,0
40.7211,-74.0043,0
40.726,-74.0094,0
40.7684,-73.9574,2
40.7222,-73.986,0
40.7632,-73.9929,0
40.6877,-73.9866,-1
40.7312,-74.0013,0
40.7606,-73.9836,0
40.7548,-73.984,0
40.7192,-74.0036,0
40.7645,-73.9797,0
40.7555,-73.9874,0
40.7559,-73.9758,0
40.7305,-74.002,0
40.7659,-73.9691,0
40.7421,-74.0039,0
40.7595,-73.9734,0
40.7224,-74.0106,0
40.7593,-73.9703,0
40.6844,-74.0002,-1
40.7249,-73.9983,0
40.7056,-73.9338,-1
40.7778,-73.9757,-1
40.6791,-73.9441,-1
40.7393,-74.0341,-1
40.7328,-73.9818,0
40.7637,-73.9816,0
40.7621,-73.976,0
40.7237,-74.0005,0
40.758,-73.9712,0
40.6217,-73.9215,-1
40.7893,-74.0446,-1
40.7462,-73.9928,0
40.7596,-73.9855,0
40.7292,-73.9958,0
40.7177,-73.9576,1
40.7302,-74.0002,0
40.7111,-73.9653,1
40.7257,-73.9837,0
40.6701,-73.9212,-1
40.7821,-73.9598,-1
40.7368,-74.031,-1
40.7416,-73.9897,0
40.7633,-73.963,0
40.7698,-73.9647,2
40.7405,-74.0084,0
40.7639,-73.8333,-1
40.7604,-73.9738,0
40.7758,-73.9532,2
40.7647,-73.9938,0
40.729,-73.9783,0
40.7556,-73.9872,0
40.7141,-73.9517,1
40.7536,-73.9887,0
40.7215,-73.9886,0
40.7366,-73.987,0
40.7367,-74.031,-1
40.7206,-73.988,0
40.7549,-73.9763,0
40.7331,-73.9899,0
40.771,-73.9596,2
40.7062,-74.0096,0
40.7319,-73.8827,-1
40.761,-73.9875,0
40.7306,-73.9805,0
40.7515,-74.0016,0
40.7506,-74.0058,0
40.7265,-73.9993,0
40.7097,-74.0804,-1
40.745,-73.9888,0
40.7473,-73.9769,0
40.7283,-73.9991,0
40.7473,-73.9884,0
40.7323,-73.9963,0
40.74,-74.006,0
40.7333,-73.9899,0
40.7635,-73.975,0
40.7236,-73.9833,0
40.7644,-73.9872,0
40.7613,-73.9993,0
40.8365,-73.8608,-1
40.7559,-73.9945,0
40.7273,-73.9919,0
40.7582,-73.9753,0
40.7036,-74.0117,0
40.7228,-74.0081,0
40.7578,-73.9165,-1
40.742,-74.0042,0
40.7661,-73.9834,0
40.7254,-73.984,0
40.6918,-73.9913,-1
40.717,-73.9631,1
40.7521,-73.9994,0
40.7515,-73.9939,0
40.7651,-73.9878,0
40.7597,-73.9794,0
40.715,-74.0077,0
40.7137,-73.9415,-1
40.8025,-73.9643,-1
40.7609,-73.9788,0
40.7574,-73.9812,0
40.7396,-74.002,0
40.703,-74.013,0
40.703,-74.013,0
40.737,-73.8519,-1
40.7054,-73.9257,-1
40.7395,-74.0018,0
40.7219,-73.9963,0
40.7154,-73.9898,0
40.6992,-73.9914,-1
40.7328,-74.0043,0
40.8511,-73.9383,-1
40.7464,-73.9933,0
40.7332,-73.9891,0
40.7507,-73.9945,0
40.7552,-73.984,0
40.7525,-73.9795,0
40.7323,-74.0077,0
40.7031,-74.0109,0
40.7053,-74.0072,0
40.7237,-74.0036,0
40.752,-74.0264,-1
40.7584,-73.9725,0
40.692,-73.9913,-1
40.7141,-74.0134,0
40.7265,-74.0351,-1
40.7183,-73.9573,1
40.7127,-74.014,0
40.6845,-73.992,-1
40.7086,-74.0103,0
40.7086,-74.0103,0
40.7634,-73.9816,0
40.7245,-73.9984,0
40.7139,-74.0145,0
40.7328,-73.9977,0
40.72,-73.9567,1
40.7186,-73.9879,0
40.7399,-73.9865,0
40.7256,-74.0052,0
40.7309,-74.0011,0
40.7402,-74.0059,0
40.7395,-73.9897,0
40.759,-73.9745,0
40.7353,-73.992,0
40.7512,-73.9833,0
40.7211,-73.9556,1
40.7612,-73.9791,0
40.7181,-73.945,-1
40.7384,-73.9855,0
40.7212,-74.0003,0
40.7627,-73.9688,0
40.7251,-73.9951,0
40.7176,-73.9829,0
40.7263,-73.996,0
40.6926,-73.9049,-1
40.7057,-73.9237,-1
40.7618,-73.9938,0
40.7144,-73.9463,-1
40.7582,-73.9765,0
40.7527,-73.9692,0
40.7271,-73.9836,0
40.7446,-74.0065,0
40.7289,-73.9766,0
40.7627,-73.815,-1
40.7096,-73.9544,1
40.7506,-73.9759,0
40.7573,-73.9628,0
40.7753,-73.9825,0
40.7596,-73.9699,0
40.7596,-73.9721,0
40.7372,-74.0328,-1
40.6431,-73.9431,-1
40.7604,-73.9614,0
40.7585,-73.9731,0
40.7289,-73.9882,0
40.7748,-73.9883,0
40.726,-73.9541,1
40.7205,-73.9998,0
40.7609,-73.9904,0
40.7202,-73.9942,0
40.695,-73.9253,-1
40.7171,-73.9626,1
40.742,-74.0057,0
40.7357,-74.0067,0
40.7358,-74.0057,0
40.742,-74.0057,0
40.7507,-73.9946,0
40.6908,-73.9306,-1
40.7223,-73.9888,0
40.7188,-73.9892,0
40.743,-74.0061,0
40.7396,-74.0022,0
40.7432,-74.0074,0
40.7232,-73.9505,1
40.7915,-73.9531,-1
40.789,-73.9426,-1
40.7431,-74.0075,0
40.7221,-73.9985,0
40.7497,-73.9451,-1
40.7438,-74.0075,0
40.6514,-74.0038,-1
40.7319,-74.0038,0
40.7438,-74.007,0
40.7438,-74.007,0
40.6258,-73.9278,-1
40.703,-73.9846,-1
40.7092,-73.9371,-1
40.74,-74.0022,0
40.7417,-73.9852,0
40.7503,-73.9761,0
40.7503,-73.9761,0
40.7404,-74.0062,0
40.7441,-74.0069,0
40.7417,-74.0031,0
40.7226,-73.9828,0
40.7735,-73.958,2
40.7512,-74.0067,0
40.74,-74.0023,0
40.7154,-74.0072,0
40.7508,-73.9882,0
40.816,-73.9541,-1
40.7396,-74.0018,0
40.7257,-74.0031,0
40.709,-74.013,0
40.6714,-73.9289,-1
40.7639,-73.9813,0
40.7511,-73.9805,0
40.7251,-73.9924,0
40.7212,-73.9878,0
40.7477,-73.9868,0
40.7477,-73.9868,0
40.7422,-74.0043,0
40.7765,-73.9895,-1
40.7606,-73.9782,0
40.7584,-73.9686,0
40.7348,-74.0001,0
40.7628,-73.9656,0
40.7867,-73.9748,-1
40.757,-74.0011,-1
40.7264,-73.9959,0
40.661,-74.0003,-1
40.7549,-73.9834,0
40.76,-73.9963,0
40.7684,-73.9575,2
40.7325,-73.9969,0
40.7213,-74.0014,0
40.7142,-74.0147,0
40.764,-73.9763,0
40.7689,-73.9186,-1
40.7689,-73.9186,-1
40.736,-74.0337,-1
40.7394,-73.9825,0
40.7609,-73.9843,0
40.6576,-73.9067,-1
40.6384,-73.9338,-1
40.7806,-73.9611,-1
40.7405,-74.0064,0
40.7299,-73.9991,0
40.6886,-73.9239,-1
40.6656,-73.9793,-1
40.6848,-73.9672,-1
40.7219,-74.0041,0
40.7353,-74.0003,0
40.7324,-73.9962,0
40.6755,-73.89,-1
40.7354,-74.0093,0
40.744,-74.0068,0
40.7271,-73.9842,0
40.7421,-73.9967,0
40.6254,-73.9276,-1
40.7619,-73.9774,0
40.7604,-73.9618,0
40.7402,-74.0059,0
40.6777,-73.9859,-1
40.7405,-74.0064,0
40.7781,-73.9563,2
40.7442,-74.0067,0
40.7283,-73.9994,0
40.7618,-73.9385,-1
40.7851,-73.957,-1
40.7851,-73.957,-1
40.7074,-73.9432,-1
40.6614,-73.9164,-1
40.7498,-73.9952,0
40.7498,-73.9952,0
40.7509,-73.9907,0
40.7579,-73.9165,-1
40.6325,-73.9953,-1
40.7295,-73.9934,0
40.6717,-73.9194,-1
40.7466,-73.9938,0
40.7187,-73.9946,0
40.7294,-73.9896,0
40.743,-74.0062,0
40.6615,-73.9952,-1
40.7602,-73.9792,0
40.7799,-73.9502,-1
40.7486,-73.987,0
40.7459,-73.9864,0
40.7188,-73.9948,0
40.7811,-73.9835,-1
40.8391,-73.9435,-1
40.7444,-73.9984,0
40.7188,-73.9947,0
40.7179,-73.9578,1
40.7246,-73.9906,0
40.7253,-73.978,0
40.7518,-73.9868,0
40.7859,-73.9763,-1
40.7844,-73.9774,-1
40.7278,-73.9857,0
40.7138,-74.0354,-1
40.7162,-73.9026,-1
40.7496,-73.9903,0
40.7532,-73.9928,0
40.7432,-73.9856,0
40.7393,-73.9912,0
40.7319,-73.984,0
40.7913,-73.9533,-1
40.7913,-73.9533,-1
40.7211,-73.9993,0
40.7227,-73.9922,0
40.73,-73.9559,-1
40.7916,-73.9408,-1
40.7584,-73.9815,0
40.7878,-73.9554,-1
40.7412,-74.0021,0
40.711,-74.0057,0
40.7159,-74.0359,-1
40.694,-73.9613,-1
40.7076,-73.9557,1
40.7714,-73.9485,-1
40.7123,-73.9571,1
40.7197,-74.0107,0
40.7398,-74.0302,-1
40.7502,-73.9945,0
40.7258,-73.9867,0
40.6317,-73.936,-1
40.7957,-73.9426,-1
40.7957,-73.9426,-1
40.675,-73.9987,-1
40.773,-73.9801,0
40.7881,-73.9699,-1
40.7183,-73.9573,1
40.7254,-74.0022,0
40.7432,-73.9799,0
40.7076,-73.9407,-1
40.7156,-73.99,0
40.7003,-73.9232,-1
40.7833,-73.9528,-1
40.7583,-73.9707,0
40.7583,-73.9707,0
40.7305,-73.9507,-1
40.7194,-73.9974,0
40.703,-73.9834,-1
40.7718,-73.9823,0
40.6618,-73.9929,-1
40.6948,-73.9938,-1
40.7443,-74.0066,0
40.7445,-73.976,0
40.7671,-73.9877,0
40.7605,-73.9781,0
40.6991,-73.934,-1
40.7586,-73.9726,0
40.6414,-73.9505,-1
40.7419,-74.0055,0
40.7421,-74.0043,0
40.7554,-73.9837,0
40.7262,-73.9917,0
40.7626,-73.9802,0
40.74,-74.0016,0
40.7396,-74.002,0
40.7704,-73.9576,2
40.7191,-73.9999,0
40.743,-73.9883,0
40.726,-74.0025,0
40.7395,-74.0017,0
40.7592,-73.961,0
40.7612,-73.9875,0
40.7225,-73.9977,0
40.7371,-74.0058,0
40.731,-74.0015,0
40.731,-74.0015,0
40.6675,-73.8649,-1
40.7235,-73.996,0
40.743,-74.0059,0
40.8077,-73.9604,-1
40.741,-74.0056,0
40.7555,-73.988,0
40.7439,-74.007,0
40.7512,-73.9742,0
40.7316,-74.0011,0
40.8055,-73.9639,-1
40.7369,-73.9905,0
40.7611,-73.9689,0
40.7561,-73.9757,0
40.7402,-74.0059,0
40.7426,-73.954,-1
40.7463,-73.9821,0
40.7396,-74.002,0
40.7424,-73.9993,0
40.6781,-73.9583,-1
40.7497,-73.9926,0
40.735,-73.9892,0
40.7432,-74.0082,0
40.7636,-73.8154,-1
40.8006,-73.9656,-1
40.7214,-73.9799,0
40.7981,-73.9503,-1
40.7239,-73.9881,0
40.7537,-73.9696,0
40.7416,-74.0049,0
40.7628,-73.9789,0
40.7188,-73.9577,1
40.7208,-74.0007,0
40.7231,-73.9883,0
40.761,-73.9797,0
40.7188,-73.9947,0
40.7409,-73.9874,0
40.7145,-73.9578,1
40.74,-74.0029,0
40.7445,-73.9954,0
40.8045,-73.948,-1
40.797,-73.9711,-1
40.7405,-74.0064,0
40.7606,-73.9781,0
40.6559,-73.9431,-1
40.7503,-73.9935,0
40.7259,-73.9837,0
40.7564,-73.9867,0
40.6922,-73.9314,-1
40.7562,-73.9746,0
40.7315,-73.9969,0
40.6763,-73.9579,-1
40.7356,-73.9867,0
40.7203,-73.9619,1
40.8524,-73.9652,-1
40.754,-73.992,0
40.7274,-73.9867,0
40.7325,-73.985,0
40.6932,-73.9692,-1
40.742,-74.0057,0
40.7413,-74.0082,0
40.6892,-73.9551,-1
40.7226,-73.9886,0
40.7352,-73.9893,0
40.7432,-74.0077,0
40.7409,-74.0078,0
40.815,-73.937,-1
40.7383,-73.9933,0
40.743,-74.0061,0
40.6856,-73.9361,-1
40.7432,-74.0062,0
40.7407,-74.0077,0
40.6605,-73.9398,-1
40.7432,-74.0085,0
40.7403,-74.0057,0
40.7429,-74.0059,0
40.741,-74.0077,0
40.746,-74.0054,0
40.744,-74.0068,0
40.7311,-73.9788,0
40.7107,-73.9575,1
40.7654,-73.9528,-1
40.7395,-74.002,0
40.7503,-73.9754,0
40.7431,-74.0064,0
40.7136,-73.9516,1
40.7437,-73.9903,0
40.7676,-73.9834,0
40.7535,-73.981,0
40.743,-74.0058,0
40.625,-73.9276,-1
40.8104,-73.9634,-1
40.7446,-74.0065,0
40.7387,-74.009,0
40.7279,-73.9984,0
40.7501,-73.9931,0
40.7526,-73.9772,0
40.7625,-73.9729,0
40.7406,-74.0086,0
40.6726,-73.9513,-1
40.7396,-74.002,0
40.7388,-74.0055,0
40.7914,-73.9526,-1
40.7146,-73.9981,0
40.7269,-73.9889,0
40.7143,-74.0156,0
40.7386,-74.0088,0
40.7419,-74.0055,0
40.7405,-74.0064,0
40.736,-73.9933,0
40.7507,-73.9716,0
40.7188,-73.9945,0
40.7439,-74.0083,0
40.742,-74.0054,0
40.7447,-73.9927,0
40.7369,-73.9898,0
40.7398,-73.9912,0
40.696,-73.9682,-1
40.6886,-73.8206,-1
40.7617,-73.9847,0
40.6678,-73.8662,-1
40.7511,-74.0045,0
40.7396,-74.002,0
40.8115,-73.9585,-1
40.7446,-74.0065,0
40.7158,-74.0067,0
40.708,-74.0045,0
40.7564,-73.9976,0
40.7405,-74.0078,0
40.7059,-73.9218,-1
40.7318,-74.0045,0
40.74,-73.9936,0
40.7145,-73.998,0
40.6748,-73.8709,-1
40.7556,-73.9873,0
40.7605,-73.9855,0
40.7279,-73.9991,0
40.7323,-74.0017,0
40.7424,-74.0043,0
40.7424,-74.0043,0
40.7753,-73.9639,2
40.7506,-73.991,0
40.7259,-73.947,-1
40.7592,-73.9724,0
40.759,-73.9705,0
40.7023,-73.9868,-1
40.6802,-73.98,-1
40.7075,-73.9254,-1
40.7499,-74.0489,-1
40.7182,-73.9948,0
40.7357,-73.9939,0
40.7469,-73.9868,0
40.7184,-73.9949,0
40.75,-73.9756,0
40.6895,-73.9902,-1
40.7404,-74.0062,0
40.751,-73.9847,0
40.742,-74.0037,0
40.7357,-74.0068,0
40.7304,-73.9901,0
40.7549,-73.9845,0
40.7444,-74.0066,0
40.7518,-73.9863,0
40.7411,-74.0457,-1
40.7519,-73.9999,0
40.7187,-74.0004,0
40.7502,-74.0043,0
40.7407,-74.0076,0
40.7429,-73.9949,0
40.7493,-73.9866,0
40.7443,-74.0065,0
40.7712,-73.9478,-1
40.7212,-73.9878,0
40.7597,-73.9006,-1
40.7096,-74.0177,0
40.724,-73.9955,0
40.7421,-74.0037,0
40.725,-74.0025,0
40.77,-73.9926,0
40.814,-73.9511,-1
40.757,-73.9889,0
40.7275,-73.983,0
40.737,-74.009,0
40.7709,-73.9535,2
40.8031,-73.9641,-1
40.7523,-73.9675,0
40.7113,-74.0108,0
40.7481,-73.9883,0
40.7435,-74.0073,0
40.7677,-73.983,0
40.7333,-73.9913,0
40.7534,-73.9786,0
40.7474,-73.9931,0
40.7535,-73.9787,0
40.7474,-73.9723,0
40.7589,-73.9722,0
40.7646,-73.9785,0
40.7587,-73.9724,0
40.7406,-74.0061,0
40.7584,-73.9703,0
40.7033,-73.9167,-1
40.7406,-74.0077,0
40.7583,-73.9598,0
40.771,-73.9557,2
40.721,-73.9879,0
40.7552,-73.981,0
40.7403,-74.0061,0
40.7172,-73.9552,1
40.755,-73.9841,0
40.7204,-73.9417,-1
40.7257,-74.0011,0
40.758,-73.9698,0
40.7545,-73.9853,0
40.7607,-73.9783,0
40.7264,-73.9563,1
40.7604,-73.9875,0
40.7585,-73.968,0
40.7037,-74.0115,0
40.7145,-73.9981,0
40.7325,-73.9969,0
40.738,-73.9901,0
40.7405,-74.0057,0
40.7442,-73.9939,0
40.7613,-73.9857,0
40.7768,-73.9573,2
40.7768,-73.9573,2
40.7294,-74.0037,0
40.7102,-74.0076,0
40.7279,-73.9909,0
40.7207,-73.9873,0
40.6877,-73.9702,-1
40.7785,-73.9491,-1
40.7261,-73.9918,0
40.7521,-73.9854,0
40.7835,-73.9833,-1
40.7605,-73.9779,0
40.7076,-73.9401,-1
40.7393,-74.0064,0
40.7409,-73.9861,0
40.7295,-73.988,0
40.7607,-73.9784,0
40.7261,-74.0058,0
40.7603,-73.973,0
40.743,-73.9929,0
40.7554,-73.9837,0
40.751,-73.9907,0
40.7623,-73.9744,0
40.7402,-74.0057,0
40.7509,-74.0039,0
40.7446,-74.0064,0
