lat,lon,cluster
40.7768,-73.9536,2
40.7473,-73.9768,0
40.7383,-73.9839,0
40.7439,-74.0064,0
40.7602,-73.9819,0
40.7586,-73.9782,0
40.7599,-73.9882,0
40.7397,-74.0006,0
40.6262,-74.0233,-1
40.7767,-73.9468,-1
40.7232,-74.0062,0
40.7522,-73.9752,0
40.7213,-73.9937,0
40.6966,-73.9185,-1
40.7279,-73.9761,0
40.7692,-73.983,0
40.758,-73.972,0
40.7768,-73.9554,2
40.7091,-74.0078,0
40.6747,-73.9546,-1
40.7148,-73.9558,1
40.7135,-73.9588,1
40.7421,-74.0041,0
40.7111,-74.0061,0
40.721,-73.9569,1
40.7438,-73.9997,0
40.7396,-74.0054,0
40.7313,-73.9823,0
40.6732,-73.9565,-1
40.684,-73.9503,-1
40.7116,-74.0156,0
40.7508,-74.0036,0
40.7423,-73.8511,-1
40.695,-73.9653,-1
40.7421,-74.0039,0
40.757,-73.972,0
40.7187,-73.9526,1
40.714,-74.0093,0
40.7398,-74.0054,0
40.7466,-73.9775,0
40.7096,-73.827,-1
40.7608,-73.9786,0
40.7671,-73.99,0
40.7211,-73.9563,1
40.759,-73.9802,0
40.7114,-73.9664,1
40.7962,-73.9685,-1
40.7056,-73.9237,-1
40.7553,-73.9831,0
40.7298,-74.0098,0
40.74,-74.0053,0
40.6683,-73.9905,-1
40.7727,-73.9654,2
40.7284,-73.9819,0
40.7221,-73.9855,0
40.7237,-73.9983,0
40.741,-73.9978,0
40.709,-74.0168,0
40.6582,-73.9329,-1
40.7213,-73.9817,0
40.7197,-74.0087,0
40.6957,-73.9399,-1
40.7552,-73.9838,0
40.6939,-73.9887,-1
40.7246,-73.9916,0
40.7589,-73.9797,0
40.7232,-73.9991,0
40.7251,-74.0032,0
40.742,-74.0038,0
40.7629,-73.9788,0
40.7408,-73.9983,0
40.6775,-73.9633,-1
40.7171,-74.0037,0
40.7261,-73.9918,0
40.7192,-73.9869,0
40.7209,-73.9879,0
40.7223,-73.9984,0
40.828,-73.9483,-1
40.828,-73.9483,-1
40.7381,-74.0034,0
40.7252,-73.994,0
40.7619,-73.9878,0
40.7451,-73.989,0
40.7431,-73.9836,0
40.7607,-73.9786,0
40.7438,-74.0065,0
40.7248,-73.9944,0
40.8219,-73.9007,-1
40.7378,-73.9788,0
40.76,-73.9964,0
40.7823,-73.9558,-1
40.7823,-73.9558,-1
40.7399,-74.0055,0
40.7221,-73.9967,0
40.7225,-73.9825,0
40.7435,-73.9925,0
40.7504,-73.9858,0
40.7105,-73.9483,1
40.7236,-73.9946,0
40.731,-73.9741,0
40.7422,-74.0042,0
40.7444,-73.983,0
40.7567,-73.9865,0
