lat,lon,cluster
40.769,-73.9825,0
40.7594,-73.9641,0
40.7113,-74.0173,0
40.806,-73.9652,-1
40.7211,-74.0042,0
40.7073,-74.0088,0
40.7566,-73.9975,0
40.7594,-73.989,0
40.6771,-73.9525,-1
40.7278,-73.9853,0
40.7206,-73.9969,0
40.7358,-74.0007,0
40.7594,-73.9974,0
40.758,-73.9753,0
40.7778,-73.9887,0
40.7735,-73.9079,-1
40.7151,-73.9918,0
40.733,-73.9873,0
40.7284,-73.9955,0
40.7474,-73.9853,0
40.7474,-73.9853,0
40.7399,-74.0302,-1
40.7399,-74.0302,-1
40.7655,-73.9713,0
40.7327,-74.0032,0
40.7074,-73.9538,1
40.7871,-73.9539,2
40.734,-74.0003,0
40.7218,-73.9582,1
40.706,-74.0085,0
40.7154,-73.9665,1
40.7431,-73.9891,0
40.7857,-73.9765,-1
40.7222,-73.9917,0
40.7749,-73.9913,0
40.7695,-73.9641,0
40.7695,-73.9641,0
40.7339,-73.9899,0
40.7526,-73.9728,0
40.7412,-74.0081,0
40.7191,-73.9903,0
40.7445,-73.9812,0
40.6778,-74.0147,-1
40.6822,-73.9797,-1
40.748,-73.987,0
40.744,-73.9872,0
40.7268,-73.9834,0
40.7436,-74.029,-1
40.7436,-74.029,-1
40.7422,-73.9989,0
40.727,-73.9839,0
40.7422,-74.0294,-1
40.734,-73.9897,0
40.7393,-73.9936,0
40.7177,-73.9494,1
40.7409,-74.0051,0
40.7323,-73.9807,0
40.7151,-73.9515,1
40.7676,-73.9305,-1
40.7295,-73.987,0
40.6752,-73.9599,-1
40.7224,-73.9972,0
40.7609,-73.9798,0
40.7409,-74.005,0
40.7406,-74.0086,0
40.7413,-73.9929,0
40.7371,-74.0287,-1
40.7371,-74.0287,-1
40.7189,-73.9946,0
40.7493,-73.98,0
40.7384,-74.0097,0
40.7435,-73.9798,0
40.7407,-74.005,0
40.7178,-73.9905,0
40.7285,-73.9997,0
40.7505,-74.0239,-1
40.7505,-74.0239,-1
40.7776,-73.9889,0
40.7892,-73.9746,-1
40.7171,-74.0452,-1
40.7171,-74.0452,-1
40.7349,-73.9888,0
40.7299,-73.9813,0
40.7063,-74.0089,0
40.7211,-73.9869,0
40.7475,-73.9917,0
40.7149,-74.015,0
40.7329,-73.9978,0
40.7388,-73.9885,0
40.7394,-74.0016,0
40.7282,-73.982,0
40.8054,-73.9459,-1
40.7498,-73.9723,0
40.7357,-74.0067,0
40.7357,-74.0067,0
40.7338,-74.0013,0
40.7325,-74.0036,0
40.7407,-74.0076,0
40.8034,-73.945,-1
40.7186,-73.9604,1
40.7281,-73.9999,0
40.7402,-74.0059,0
40.7337,-73.9953,0
40.743,-73.9891,0
40.737,-73.9512,1
40.7887,-73.977,-1
40.8018,-73.9669,-1
40.7201,-73.9874,0
