lat,lon,cluster
40.7166,-73.9975,0
40.6852,-73.9915,1
40.7279,-73.9822,0
40.7279,-73.9822,0
40.7501,-73.993,0
40.7498,-73.9922,0
40.7481,-73.9897,0
40.7741,-73.8727,2
40.7415,-74.0026,0
40.7069,-74.009,0
40.7414,-74.0049,0
40.7563,-73.9817,0
40.7678,-73.9915,0
40.743,-74.0061,0
40.7509,-73.9944,0
40.7394,-74.0016,0
40.7944,-73.9718,0
40.7399,-73.9983,0
40.7227,-73.9978,0
40.7499,-74.0025,0
40.7474,-73.9822,0
40.6888,-73.9889,1
40.7398,-74.0058,0
40.7635,-73.9868,0
40.7499,-73.9914,0
40.7225,-73.9995,0
40.7589,-73.9725,0
40.7203,-73.9795,0
40.7444,-73.9962,0
40.6914,-73.9843,1
40.7082,-74.0008,0
40.7464,-74.0011,0
40.7679,-73.9829,0
40.7342,-73.99,0
40.7334,-74.005,0
40.7394,-74.0351,-1
40.6878,-73.997,1
40.7307,-73.9498,0
40.752,-73.9935,0
40.7387,-73.9886,0
40.7641,-73.9759,0
40.7181,-73.9581,0
40.7181,-73.9581,0
40.7621,-73.9732,0
40.7644,-73.985,0
40.7884,-73.9554,0
40.7312,-73.9886,0
40.7253,-74.0035,0
40.729,-73.9814,0
40.7592,-73.9884,0
40.71,-73.9627,0
40.7608,-73.9946,0
40.7173,-73.9955,0
40.7328,-74.0043,0
40.7595,-73.9812,0
40.7345,-74.0008,0
40.6994,-73.915,-1
40.7329,-74.0086,0
40.7605,-73.9858,0
40.7262,-74.0007,0
40.7633,-73.9596,0
40.7155,-74.0158,0
40.7408,-73.9822,0
40.6838,-73.9341,-1
40.769,-73.9433,0
40.7588,-73.9887,0
40.7588,-73.9887,0
40.7141,-73.9898,0
40.7306,-74.0043,0
40.7611,-74.0187,-1
40.7092,-74.0402,-1
40.7092,-74.0402,-1
40.7605,-73.978,0
40.773,-73.9647,0
40.7339,-74.0052,0
40.7678,-73.9833,0
40.7453,-73.9979,0
40.6834,-73.9757,1
40.7665,-73.9681,0
40.7559,-73.9833,0
40.745,-73.9922,0
40.7506,-73.9904,0
40.7297,-73.9975,0
40.7364,-73.9933,0
40.7647,-73.9796,0
40.7606,-73.9845,0
40.7603,-73.9838,0
40.7603,-73.9824,0
40.7236,-73.9965,0
40.6659,-73.9927,-1
40.7227,-74.0035,0
40.7364,-73.9525,0
40.769,-73.9552,0
40.7177,-74.0106,0
40.764,-73.9715,0
40.7106,-73.9366,-1
40.8318,-74.1317,-1
40.7739,-73.9836,0
40.7625,-73.9847,0
40.7297,-73.9982,0
40.7585,-73.9832,0
40.7554,-73.9764,0
40.7764,-73.956,0
40.7594,-73.9851,0
40.6844,-73.9563,1
40.7526,-73.9859,0
40.7559,-73.9716,0
40.7419,-74.0039,0
40.7553,-73.9909,0
40.7566,-73.9843,0
40.682,-73.9764,1
40.7614,-74.0019,0
40.7614,-74.0019,0
40.8084,-73.9907,-1
40.7643,-73.977,0
40.7349,-73.9932,0
40.7388,-73.9929,0
40.6826,-73.9738,1
40.7284,-74.0072,0
40.6835,-73.9755,1
40.744,-73.987,0
40.7324,-73.993,0
40.7647,-73.9821,0
40.7739,-73.8721,2
40.7369,-74.0339,-1
40.802,-73.9679,-1
40.7741,-73.8725,2
40.7553,-73.8513,-1
40.7171,-74.0329,-1
40.7171,-74.0329,-1
40.7215,-74.0065,0
40.7184,-74.0051,0
40.7724,-73.9806,0
40.7194,-74.0087,0
40.8307,-73.923,-1
40.7252,-73.997,0
40.734,-74.0051,0
40.7221,-73.9945,0
40.7402,-74.0057,0
40.7249,-73.9951,0
40.826,-73.9233,-1
40.7806,-73.9589,0
40.7118,-73.9499,0
40.7595,-73.9893,0
40.733,-73.992,0
40.7643,-73.9673,0
40.7585,-73.9869,0
40.7667,-73.9672,0
40.8079,-74.1065,-1
40.7523,-73.978,0
40.7612,-73.9752,0
40.7052,-73.9275,-1
40.7815,-73.9514,0
40.7485,-73.9768,0
40.7357,-74.0034,0
40.7409,-74.0073,0
40.7135,-73.9878,0
40.6638,-73.9373,-1
40.7409,-73.9936,0
40.7605,-73.9911,0
40.7165,-74.01,0
40.7024,-73.9934,0
40.7355,-74.0033,0
40.7599,-73.9879,0
40.7599,-73.9879,0
40.7152,-74.0093,0
40.7561,-73.9828,0
40.7561,-73.9828,0
40.7611,-73.9761,0
40.7249,-73.999,0
40.7364,-73.9975,0
40.6773,-73.9983,1
40.7327,-73.9876,0
40.7296,-73.9965,0
40.7802,-73.9813,0
